序号,清单,店名,推荐分,老字号,定位,城区,类别,茶市饭市,人均,口味,服务,环境,稳定度
1,必吃,侨美（沙面）,4.75,,中高,荔湾,粤菜,均可,200,9,8,7,9
2,必吃,丽的面家（多宝路）,4.5,是,大众,荔湾,面馆,饭市,45,8.5,6,6,9
3,必吃,惠食佳（滨江店）,4.5,是,中高,海珠,粤菜,饭市,220,9,8,7,9
4,必吃,御彩酒家,4,是,大众,越秀,粤菜,茶市,100,8.5,6.5,7.5,8.5
5,必吃,银灯食府（丽丰店）,4,是,大众,越秀,粤菜,茶市,100,8,6.5,8,8.5
6,必吃,唔八,4,是,大众,海珠,粤菜,茶市,90,8,7,6,8
7,必吃,大门公,4,是,大众,顺德大良,顺德菜,饭市,120,8,6,7,7.5
8,必吃,上膳汤水（星厨店）,4.25,,大众,海珠,粤菜,饭市,110,8,7,6.5,8.5
9,必吃,翅叔港式酒家,4,,中高,越秀,特色粤菜,饭市,150,8.25,6,5,8.5
10,必吃,头家夜粥,4.5,,高端,天河,潮菜,饭市,500,9.5,6.5,6,8.5
11,必吃,榕意,4.25,,大众私房菜,顺德容桂,顺德菜,饭市,150,9,6.5,8,8.5
12,必吃,喜喜轩,4,,大众,越秀,粤菜,茶市,60,8.25,6.5,7.5,8
13,必吃,渔情味了,4,,大众,海珠,火锅鱼生,饭市,160,8,5.5,5.5,8.5
14,必吃,香江饭店,4.5,是,大众,顺德容桂,顺德菜,均可,120,8.25,6.5,6,8
15,必吃,五星顺德菜,4.5,,大众,顺德大良,火锅鱼生,饭市,130,9,8,7,9
16,必吃,德馨餐厅,4.5,是,大众,佛山南海,怀旧老菜,饭市,110,9,5.5,6.5,8
17,必吃,横岗肠仔,4,是,大众,佛山南海,特色粤菜,饭市,100,8,5.5,6.5,7.5
18,必吃,鲶鱼仔,4.25,,大众,佛山南海,特色粤菜,饭市,80,8.25,6,6,8.5
19,必吃,英姑猪杂粥,4.5,是,大众,顺德大良,粥底火锅,饭市,100,9,6,6,9
20,必吃,桥珠印象（老店）,4,是,大众,顺德大良,顺德菜,均可,100,8.5,7.5,7,8.5
21,必吃,威水打边炉,4.25,,中高,越秀,浓汤火锅,饭市,200,8.25,8,7,9
22,必吃,永恒集北,4,是,大众,番禺,特色粤菜,饭市,200,8.5,6.5,6,8.5
23,必吃,正牌七寸金,4.5,,中高,天河,粤菜,饭市,250,9,8.5,8.5,9
24,必吃,银座餐厅,3.75,是,大众,海珠,粤菜,饭市,120,8,6.5,6.5,8
25,必吃,裕华,3.75,是,大众,海珠,粤菜,均可,120,8.25,5,5,8
26,必吃,勇记竹升面,4,,大众,荔湾,面馆,,30,8,5,5,9
27,必吃,好面膳（芳村店）,4.25,,大众,荔湾,面馆,,40,8.25,6,6.5,9
28,必吃,竹园竹升面,4,老字号,大众,荔湾,面馆,,30,8.25,5.5,6,9.5
29,必吃,玲玲美食,4,,大众,荔湾,特色粤菜,饭市,90,8.25,6.5,6,8.5
30,必吃,GAIA,4.5,,中高,海珠,西餐,饭市,350,9,8.5,8,9
31,必吃,食盈碗仔翅（西华路店）,4.5,,大众,荔湾,小吃,,35,9,5,5,9.5
1,值得试,清平饭店,4,重开,中上,荔湾,粤菜,饭市,120,7.5,7,8,8
2,值得试,永利饭店（陈家祠）,4,,中上,越秀荔湾,粤菜,均可,150,7.5,6,8,6.5
3,值得试,潮宝小食店,3.5,是,平价,荔湾,粥粉面,,30,7,4,5,9
4,值得试,生记肠粉,3.5,是,平价,荔湾,面馆,,20,7.5,4,5,9
5,值得试,伍湛记（龙津西）,3.25,是,大众,荔湾,粥粉面,,25,7.5,4,5,8.5
6,值得试,新兴（老店）,4,是,中上,海珠,粤菜,均可,120,8.5,6,7,8.5
7,值得试,金越轩（星寰店）,4.25,是,大众,越秀,粤式越菜,,100,8.5,6,8,8
8,值得试,潮福餐厅,3.75,,大众,白云,潮汕卤水火锅,,90,8,4.5,6,8
9,值得试,明大苑,3.75,,中上,番禺,粤菜,均可,110,7.5,7,9,9
10,值得试,来脚鞋与鱼子酱,4,,中高,天河,西餐,饭市,350,8,7,7.5,8.5
11,值得试,VINI,4,,中上,海珠,西餐,,300,8,6,6,8.5
12,值得试,粤正盅,3.75,,大众,越秀,特色粤菜,饭市,100,7.5,5,6,8
13,值得试,温祈福（芳村店）,4,,中上,荔湾,粤菜,均可,100,8,6,8,8.5
14,值得试,伍哥厨房,3.75,,大众,海珠,特色粤菜,饭市,100,8,5,5,8
15,值得试,禄鼎鲜食,4.25,,大众,荔湾,海鲜火锅,,130,8,8,6,9
16,值得试,贡美食,3.75,是,大众,荔湾,粤菜,饭市,110,7.5,5,6,8.5
17,值得试,喜势点（北京路/多宝路）,3.75,,大众,越秀荔湾,全天茶点,全天茶市,60,7.5,6,6.5,8
18,值得试,沁平盛澳门咖喱,3.75,,平价,荔湾,粉面,,25,7.5,4,5,8
19,值得试,丰尔粥食（同兴路店）,3.75,,平价,顺德大良,顺德菜,均可,80,8,6,7,8
20,值得试,潮福,3.75,,大众,海珠,粉面,,35,8,4,5,9
21,值得试,养鱼苏,4.25,,中上,天河,清水鱼火锅,饭市,110,8,7,8,9
22,值得试,四季京未（农林下）,4.25,,中上,越秀,京味菜,,120,8.5,6,7,9
23,值得试,花悦庭,4.5,,中上,天河,京味菜综合中餐,,150,9,8,8,9
24,值得试,兴悦（环市东）,4.25,,中高,越秀,粤菜,均可,200,8.5,7,7.5,8.5
25,值得试,徐博馆（中和店）,4.25,是,中高,天河,粤菜,饭市,300,9,7.5,8.5,9
26,值得试,味食家（解放北）,4,是,大众,越秀,粤菜,饭市,100,8,6,6,9
27,值得试,牛骨髓盖（员村店）,3.75,,中上,天河,粤菜,饭市,120,8,6,6,8.5
28,值得试,蒸坊黄鳝饭,4,是,大众,佛山禅城,特色粤菜,,90,8.5,6,7,9
29,值得试,红星光发煲仔饭（文海店）,3.75,,中上,顺德容桂,煲仔饭,,100,8,5,7,9
30,值得试,唐人轩,4,,平价,越秀,粤菜,全天茶市,60,8,5,6.5,9
31,值得试,观绿茶居（中山八）,3.75,,平价,荔湾,粤菜,全天茶市,60,7.5,4,6,8
32,值得试,啫成啫煲,3.75,,平价,荔湾,排挡,,60,7.5,4,3,8.5
33,值得试,松苑（芳村）,4,,中上,荔湾,粤菜,饭市,120,8.5,7,8.5,7.5
34,值得试,博多天妇罗,3.75,,大众,天河,日料,,90,8,6,6,9
